"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"142","Adam Prentice (NO)","3","5","1.7","2","0","0","3","3","16","5.3","0","0","5","3.6","0.7","0.0%"
"143","Kylin Hill (GB)","10","24","2.4","8","0","0","1","2","5","5.0","0","0","8","3.4","0.4","0.6%"
"144","Scottie Phillips (FA)","6","13","2.2","4","0","0","2","3","9","4.5","0","0","3","3.2","1.1","0.0%"
"145","Derek Watt (PIT)","1","1","1.0","1","0","0","3","3","15","5.0","0","0","11","3.1","0.3","0.1%"
"146","La'Mical Perine (NYJ)","8","31","3.9","14","0","0","0","0","0","0","0","0","2","3.1","1.6","0.0%"
"147","Cam Akers (LAR)","5","3","0.6","2","0","0","3","3","10","3.3","0","0","2","2.8","1.4","97.6%"
"148","Darrynton Evans (CHI)","2","7","3.5","5","0","0","2","2","11","5.5","0","0","2","2.8","1.4","0.1%"
"149","Reggie Bonnafon (WAS)","1","4","4.0","4","0","0","2","2","12","6.0","0","0","1","2.6","2.6","0.0%"
"150","Nick Bawden (NYJ)","0","0","0","0","0","0","1","1","20","20.0","0","0","1","2.5","2.5","0.0%"
"151","Trey Ragas (LAR)","1","9","9.0","9","0","0","2","2","6","3.0","0","0","1","2.5","2.5","0.0%"
"152","Raheem Mostert (MIA)","2","20","10.0","11","0","0","0","0","0","0","0","0","1","2.0","2.0","40.0%"
"153","Anthony McFarland Jr. (PIT)","3","3","1.0","3","0","0","1","1","11","11.0","0","0","3","1.9","0.6","0.2%"
"154","Gary Brightwell (NYG)","1","4","4.0","4","0","0","1","1","6","6.0","0","0","7","1.5","0.2","0.2%"
"155","John Kelly Jr. (CLE)","2","13","6.5","11","0","0","0","0","0","0","0","0","1","1.3","1.3","0.0%"
"156","Ryan Nall (DAL)","1","4","4.0","4","0","0","1","1","4","4.0","0","0","5","1.3","0.3","0.0%"
"157","Jacques Patrick (CIN)","2","12","6.0","8","0","0","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"158","Buddy Howell (FA)","5","11","2.2","4","0","0","0","0","0","0","0","0","5","1.1","0.2","0.0%"
"159","Mekhi Sargent (JAC)","5","11","2.2","3","0","0","0","1","0","0","0","0","5","1.1","0.2","0.0%"
"160","Devine Ozigbo (DEN)","1","-3","-3.0","0","0","0","1","1","7","7.0","0","0","2","0.9","0.5","0.0%"
"161","Damarea Crockett (DEN)","3","7","2.3","6","0","0","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"162","Jake Funk (LAR)","2","5","2.5","6","0","0","0","0","0","0","0","0","5","0.5","0.1","0.2%"
"163","Nathan Cottrell (FA)","1","3","3.0","3","0","0","0","0","0","0","0","0","3","0.3","0.1","0.0%"
"164","Max Borghi (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"165","Raheem Blackshear (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"166","Kennedy Brooks (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","Sandro Platzgummer (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"168","Brian Robinson Jr. (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28.0%"
"169","Zamir White (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.1%"
"170","Dexter Williams (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"171","Trevon Wesco (NYJ)","0","0","0","0","0","0","3","5","35","11.7","0","0","8","0.0","0.0","0.0%"
"172","Mike Weber (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"173","Darwin Thompson (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"174","Sutton Smith (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"175","Cullen Gillaspia (FA)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"176","Andrew Beck (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
