"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"102","Daniel Brown (FA)","2","2","29","14.5","24","1","0","0","0","0","0","3","3.9","1.3","0.0%"
"103","Mitchell Wilcox (CIN)","3","5","16","5.3","8","0","0","0","0","0","0","4","3.1","0.8","0.0%"
"104","Cethan Carter (MIA)","2","2","16","8.0","8","0","0","0","0","0","0","8","2.6","0.3","0.0%"
"105","Demetrius Harris (FA)","3","6","10","3.3","7","0","0","0","0","0","0","10","2.5","0.3","0.0%"
"106","Derek Carrier (FA)","2","2","13","6.5","9","0","0","0","0","0","0","2","2.3","1.2","0.0%"
"107","Luke Stocker (FA)","2","2","12","6.0","7","0","0","0","0","0","0","6","2.2","0.4","0.0%"
"108","Richard Rodgers (PHI)","2","2","11","5.5","9","0","0","0","0","0","0","1","2.1","2.1","0.0%"
"109","Ethan Wolf (FA)","2","2","8","4.0","4","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"110","Kevin Rader (PIT)","2","3","8","4.0","7","0","0","0","0","0","0","3","1.8","0.6","0.0%"
"111","Johnny Mundt (MIN)","1","1","9","9.0","9","0","0","0","0","0","0","3","1.4","0.5","0.0%"
"112","Brycen Hopkins (LAR)","1","1","9","9.0","9","0","0","0","0","0","0","1","1.4","1.4","0.1%"
"113","Hunter Long (MIA)","1","3","8","8.0","8","0","0","0","0","0","0","3","1.3","0.4","0.1%"
"114","Eric Tomlinson (DEN)","1","2","7","7.0","7","0","0","0","0","0","0","7","1.2","0.2","0.0%"
"115","Nick Boyle (BAL)","1","2","2","2.0","2","0","0","0","0","0","0","2","0.7","0.4","0.1%"
"116","Darrell Daniels (FA)","1","4","0","0.0","0","0","0","0","0","0","0","10","0.5","0.1","0.0%"
"117","Deon Yelder (ARI)","1","1","0","0.0","0","0","0","0","0","0","0","2","0.5","0.3","0.0%"
"118","Daniel Helm (FA)","1","2","-1","-1.0","0","0","0","0","0","0","0","3","0.4","0.1","0.0%"
"119","Jody Fortson (KC)","5","5","47","9.4","27","1","2","0","0","0","0","4","0.0","0.0","0.2%"
"120","Nick Bowers (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"121","Codey McElroy (FA)","0","1","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"122","Farrod Green (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"123","Josh Hokit (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"124","Sage Surratt (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"125","Tanner Hudson (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"126","Jordan Franks (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Andrew Beck (DEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"128","Jared Pinkney (LAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"129","Antonio Gandy-Golden (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"130","Jace Sternberger (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"131","Nate Becker (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"132","Matt Sokol (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"133","Matthew Orzech (LAR)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"134","Irv Smith Jr. (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","47.3%"
"135","Alize Mack (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"136","Reggie Gilliam (BUF)","3","5","23","7.7","8","0","0","3","3","0","0","8","0.0","0.0","0.0%"
"137","Tyler Mabry (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"138","Giovanni Ricci (CAR)","0","2","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.0%"
"139","Lawrence Cager (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
